ID,FNODEID,ENODEID,KORNAME,ROADLENGTH
1400038000,1400013500,1400002101,산성터널로,375
1400038100,1400013500,1400013600,산성터널로,55
1400038200,1400013600,1400013500,산성터널로,55
1400038300,1400013500,1400014000,강변6로,309
1400038400,1400014000,1400013500,강변6로,319
1400038500,1400013600,1400013700,산성터널로,130
1400038600,1400013700,1400013600,산성터널로,130
1400038700,1400013600,1400014300,장전로,578
1400038800,1400014300,1400013600,장전로,588
1400038900,1400013700,1400014800,금강로,829
1400039000,1400014800,1400013700,금강로,830
1400039100,1400013800,1400002300,오륜대로,69
1400039200,1400002300,1400013800,오륜대로,69
1400039300,1400013800,1400014200,무학송4로,260
1400039400,1400014200,1400013800,무학송4로,260
1400039500,1400002400,1400013900,한울4로,64
1400039600,1400013900,1400002400,한울4로,64
1400039700,1400013900,1400002500,-,44
1400039800,1400002500,1400013900,-,53
1400039900,1400013900,1400014000,한울3로,232
1400040000,1400014000,1400013900,한울3로,240
1400040100,1400013900,1400002700,한울4로,387
1400040200,1400002700,1400013900,한울4로,415
1400040300,1400014000,1400014100,부곡교,41
1400040400,1400014100,1400014000,부곡교,41
1400040500,1400014000,1400014400,강변6로,309
1400040600,1400014400,1400014000,강변6로,299
1400040700,1400014200,1400002600,중앙대로1778길,72
1400040800,1400002600,1400014200,중앙대로1778길,72
1400040900,1400014200,1400014500,무학송4로,250
1400041000,1400014500,1400014200,무학송4로,250
1400041100,1400014300,1400014400,장전로,55
1400041200,1400014400,1400014300,장전로,55
1400041300,1400014300,1400014700,구서전철서로,263
1400041400,1400014700,1400014300,구서전철서로,262
1400041500,1400002700,1400014500,체육공원로,144
1400041600,1400014500,1400002700,체육공원로,141
1400041700,1400002700,1400003100,중앙대로,484
1400041800,1400003100,1400002700,중앙대로,499
1400041900,1400014400,1400002900,장전로,223
1400042000,1400002900,1400014400,장전로,223
1400042100,1400014400,1400014600,구서전철동로,217
1400042200,1400014600,1400014400,구서전철동로,216
1400042300,1400014500,1400015200,체육공원로,582
1400042400,1400015200,1400014500,체육공원로,575
1400042500,1400002900,1400014600,구서전철동로,162
1400042600,1400014600,1400002900,구서전철동로,149
1400042700,1400014600,1400014900,구서전철동로,211
1400042800,1400014900,1400014600,구서전철동로,211
1400042900,1400014700,1400014800,효자4로,201
1400043000,1400014800,1400014700,효자4로,201
1400043100,1400014700,1400015000,구서전철서로,211
1400043200,1400015000,1400014700,구서전철서로,211
1400043300,1400014800,1400015100,금강로,305
1400043400,1400015100,1400014800,금강로,299
1400043500,1400014900,1400015000,구서중앙1로,27
1400043600,1400015000,1400014900,구서중앙1로,27
1400043700,1400014900,1400003100,구서중앙1로,50
1400043800,1400003100,1400014900,구서중앙1로,50
1400043900,1400015000,1400015100,구서중앙1로,316
1400044000,1400015100,1400015000,구서중앙1로,313
1400044100,1400015100,1400015400,금강로,424
1400044200,1400015400,1400015100,금강로,429
1400044301,1400015200,1400019800,체육공원로,144
1400044302,1400019800,1400017200,체육공원로,3065
1400044401,1400019800,1400015200,체육공원로,144
1400044402,1400017200,1400019800,체육공원로,3051
1400044500,1400003300,1400015800,구서중앙2로,1263
1400044600,1400015800,1400003300,구서중앙2로,1257
1400044900,1400015400,1400015500,금강로,532
1400045000,1400015500,1400015400,금강로,532
1400045300,1400003900,1400015500,두실2로,331
1400045400,1400015500,1400003900,두실2로,331
1400045500,1400015500,1400015700,벚꽃5로,363
1400045600,1400015700,1400015500,벚꽃5로,359
1400045700,1400015500,1400015900,금강로,314
1400045800,1400015900,1400015500,금강로,314
1400045900,1400015700,1400016000,금샘길,569
1400046000,1400016000,1400015700,금샘길,572
1400046100,1400015800,1400004000,금단로,123
1400046200,1400004000,1400015800,금단로,123
1400046300,1400015800,1400016100,구서중앙2로,717
1400046400,1400016100,1400015800,구서중앙2로,711
1400046500,1400004000,1400015900,두실로,339
1400046600,1400015900,1400004000,두실로,339
1400046700,1400015900,1400016000,두실로,420
1400046800,1400016000,1400015900,두실로,427
1400046900,1400015900,1400016300,금강로,694
1400047000,1400016300,1400015900,금강로,694
1400047100,1400016000,1400016400,금샘길,421
1400047200,1400016400,1400016000,금샘길,409
1400047300,1400016100,1400004300,-,77
1400047400,1400004300,1400016100,-,77
1400047500,1400016100,1400004500,구서중앙2로,210
1400047600,1400004500,1400016100,구서중앙2로,209
1400047700,1400004300,1400016300,남산로,365
1400047800,1400016300,1400004300,남산로,350
1400047900,1400016300,1400016400,남산로,450
1400048000,1400016400,1400016300,남산로,450
1400048100,1400016300,1400016500,금강로,289
1400048200,1400016500,1400016300,금강로,289
1400048300,1400016400,1400016700,금샘길,952
1400048400,1400016700,1400016400,금샘길,961
1400048500,1400016500,1400004600,-,332
1400048600,1400004600,1400016500,-,332
1400048700,1400016500,1400016900,금강로,660
1400048800,1400016900,1400016500,금강로,661
1400048900,1400004700,1400016600,-,146
1400049000,1400016600,1400004700,-,146
1400049100,1400004700,1400017100,-,629
1400049200,1400017100,1400004700,-,609
1400049300,1400016600,1400017100,-,560
1400049400,1400017100,1400016600,-,540
1400049500,1400004800,1400017000,금정도서관길,1385
1400049600,1400017000,1400004800,금정도서관길,1382
1400049700,1400004900,1400016800,범어사길,295
1400049800,1400016800,1400004900,범어사길,308
1400049900,1400016700,1400016900,금샘길,354
1400050000,1400016900,1400016700,금샘길,354
1400050100,1400016700,1400017600,범어사길,4211
1400050200,1400017600,1400016700,범어사길,4271
1400050300,1400016800,1400016900,금샘길,126
